model,benchmark,mode,best_generation,best_q,classification,complete_controller_config,functional_key_count,artifact_path,source_note
gpt-5.2,auv,dual_strategy,51,0.40242146510836618,api_generated,true,59,api_generated/auv/gpt-5.2/dual_strategy/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
gpt-5.2,ground_vehicle,single,84,0.37741332853415299,api_generated,true,18,api_generated/ground_vehicle/gpt-5.2/single/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
gpt-5.2,ground_vehicle,dual_objective,67,0.37595248320210517,api_generated,true,18,api_generated/ground_vehicle/gpt-5.2/dual_objective/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
gpt-5.2,ground_vehicle,dual_strategy,85,0.37406002160800311,api_generated,true,18,api_generated/ground_vehicle/gpt-5.2/dual_strategy/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
gpt-5.2,quadrotor,single,9,0.60253919686409485,api_generated,true,16,api_generated/quadrotor/gpt-5.2/single/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
gpt-5.2,quadrotor,dual_objective,34,0.63356589963165455,api_generated,true,16,api_generated/quadrotor/gpt-5.2/dual_objective/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
gpt-5.2,quadrotor,dual_strategy,30,0.65577762209995061,api_generated,true,16,api_generated/quadrotor/gpt-5.2/dual_strategy/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
glm-5.1,cstr,single,98,0.12238676043081345,api_generated,true,33,api_generated/cstr/glm-5.1/single/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
glm-5.1,cstr,dual_objective,98,0.28011719876388413,fallback_generated,true,33,fallback_generated/cstr/glm-5.1/dual_objective/controller_config.json,"Retained complete configuration produced by the fallback path, not a direct LLM response."
glm-5.1,cstr,dual_strategy,51,0.23843358132387665,api_generated,true,33,api_generated/cstr/glm-5.1/dual_strategy/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
glm-5.1,auv,single,191,0.37350011179565357,incomplete_fallback,false,2,incomplete_or_unretained/auv/glm-5.1/single/incomplete_fallback_record.json,Fallback-labeled endpoint whose retained snapshot contains only name/label and is not executable.
glm-5.1,auv,dual_objective,75,0.38979423274613356,api_generated,true,58,api_generated/auv/glm-5.1/dual_objective/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
glm-5.1,auv,dual_strategy,29,0.39704853183593025,api_generated,true,58,api_generated/auv/glm-5.1/dual_strategy/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
glm-5.1,ground_vehicle,single,190,0.38402364153722301,fallback_generated,true,18,fallback_generated/ground_vehicle/glm-5.1/single/controller_config.json,"Retained complete configuration produced by the fallback path, not a direct LLM response."
glm-5.1,ground_vehicle,dual_objective,23,0.38414330449719281,fallback_generated,true,18,fallback_generated/ground_vehicle/glm-5.1/dual_objective/controller_config.json,"Retained complete configuration produced by the fallback path, not a direct LLM response."
glm-5.1,ground_vehicle,dual_strategy,1,0.3840179725232713,api_generated,true,18,api_generated/ground_vehicle/glm-5.1/dual_strategy/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
glm-5.1,quadrotor,single,135,0.65514782891390921,fallback_generated,true,16,fallback_generated/quadrotor/glm-5.1/single/controller_config.json,"Retained complete configuration produced by the fallback path, not a direct LLM response."
glm-5.1,quadrotor,dual_objective,81,0.65724275103170249,fallback_generated,true,16,fallback_generated/quadrotor/glm-5.1/dual_objective/controller_config.json,"Retained complete configuration produced by the fallback path, not a direct LLM response."
glm-5.1,quadrotor,dual_strategy,78,0.65977751188083911,fallback_generated,true,16,fallback_generated/quadrotor/glm-5.1/dual_strategy/controller_config.json,"Retained complete configuration produced by the fallback path, not a direct LLM response."
